섹션	영어 원문	베트남어 번역
globalBusiness.step1Desc	Submit your interest. Tell us about your city.	Gửi sự quan tâm của bạn. Hãy cho chúng tôi biết về thành phố của bạn.
globalBusiness.step2Title	Consultation	Tư vấn
globalBusiness.step2Desc	We learn about your market and goals together.	Chúng ta cùng tìm hiểu thị trường và mục tiêu của bạn.
globalBusiness.step3Title	Agreement	Thỏa thuận
globalBusiness.step3Desc	Clear terms, transparent partnership structure.	Điều khoản rõ ràng, cấu trúc quan hệ đối tác minh bạch.
globalBusiness.step4Title	Training	Đào tạo
globalBusiness.step4Desc	Full teacher and operator training program.	Chương trình đào tạo giáo viên và người vận hành đầy đủ.
globalBusiness.step5Title	Opening	Khai trương
globalBusiness.step5Desc	Grand opening support and launch marketing.	Hỗ trợ khai trương hoành tráng và tiếp thị ra mắt.
globalBusiness.step6Title	Ongoing Support	Hỗ trợ liên tục
globalBusiness.step6Desc	Curriculum updates, consulting, and community.	Cập nhật chương trình học, tư vấn và cộng đồng.
globalBusiness.voicesLabel	PARTNER VOICES	TIẾNG NÓI ĐỐI TÁC
globalBusiness.voicesTitle	Real partners. Real results.	Đối tác thực. Kết quả thực.
globalBusiness.voice1Quote	Noljak gave us a complete system — curriculum, training, and ongoing support. We opened with confidence.	Noljak cung cấp cho chúng tôi một hệ thống hoàn chỉnh — chương trình học, đào tạo và hỗ trợ liên tục. Chúng tôi khai trương với sự tự tin.
globalBusiness.voice1Name	Partner, Vietnam	Đối tác, Việt Nam
globalBusiness.voice2Quote	Parents immediately understood the value. Children who used to resist art now ask to come every day.	Phụ huynh hiểu ngay giá trị. Những đứa trẻ trước đây từ chối học nghệ thuật nay xin đến mỗi ngày.
globalBusiness.voice2Name	Partner, Philippines	Đối tác, Philippines
globalBusiness.voice3Quote	The curriculum is unlike anything available in Germany. We had 40 students enrolled before opening day.	Chương trình học không giống bất cứ thứ gì có sẵn ở Đức. Chúng tôi đã có 40 học sinh đăng ký trước ngày khai trương.
globalBusiness.voice3Name	Partner, Germany	Đối tác, Đức
globalBusiness.formLabel	GET STARTED	BẮT ĐẦU
globalBusiness.formTitle	Let's talk about your city.	Hãy nói về thành phố của bạn.
globalBusiness.formDesc	Fill in the form and our global team will be in touch within 2 business days.	Điền vào biểu mẫu và đội ngũ toàn cầu của chúng tôi sẽ liên hệ trong vòng 2 ngày làm việc.
globalBusiness.reassure1	No obligation — just a conversation	Không ràng buộc — chỉ là cuộc trò chuyện
globalBusiness.reassure2	Response within 2 business days	Phản hồi trong vòng 2 ngày làm việc
globalBusiness.reassure3	Available in English, Korean, and Vietnamese	Có sẵn bằng tiếng Anh, tiếng Hàn và tiếng Việt
globalBusiness.fieldName	Name	Họ tên
globalBusiness.fieldNamePlaceholder	Your name	Tên của bạn
globalBusiness.fieldEmail	Email	Email
globalBusiness.fieldPhone	Phone	Điện thoại
globalBusiness.fieldCountry	Country	Quốc gia
globalBusiness.fieldCity	City	Thành phố
globalBusiness.fieldBusinessType	Business Type	Loại hình kinh doanh
globalBusiness.fieldBusinessTypePlaceholder	Select a type	Chọn loại hình
globalBusiness.optionNewCenter	New Center	Trung tâm mới
globalBusiness.optionLicensing	Licensing	Cấp phép
globalBusiness.optionMasterFranchise	Master Franchise	Nhượng quyền thương mại chính
globalBusiness.fieldMessage	Message	Tin nhắn
globalBusiness.fieldMessagePlaceholder	Tell us about your plans...	Hãy cho chúng tôi biết về kế hoạch của bạn...
globalBusiness.submit	Send Inquiry	Gửi yêu cầu
whatIsNoljakPage.headline	Noljak is the world's only art-based creative education for the AI generation.	Noljak là chương trình giáo dục sáng tạo dựa trên nghệ thuật duy nhất trên thế giới cho thế hệ AI.
whatIsNoljakPage.body1	Noljak is a creative education program rooted in Thinking Observation — designed for children ages 3 to elementary school. Through small-group, project-based art classes, we help children develop the creativity that will define their success in the AI era.	Noljak là chương trình giáo dục sáng tạo bắt nguồn từ Quan sát Tư duy — được thiết kế cho trẻ từ 3 tuổi đến tiểu học. Thông qua các lớp học nghệ thuật theo dự án nhóm nhỏ, chúng tôi giúp trẻ phát triển sự sáng tạo.
whatIsNoljakPage.body2	English and math matter. But in the end, creativity is the real competitive edge. And creativity has a golden time — it starts early, and it starts with Noljak.	Tiếng Anh và Toán học đều quan trọng. Nhưng cuối cùng, sáng tạo mới là lợi thế cạnh tranh thực sự. Và sáng tạo có thời điểm vàng — nó bắt đầu sớm, và bắt đầu với Noljak.
whatIsNoljakPage.footnote1	NOLJAK = Nol-i(놀이) + Chang-Jak(창작)	NOLJAK = Nol-i(놀이) + Chang-Jak(창작)
whatIsNoljakPage.footnote2	Play + Creation → NOLJAK	Chơi + Sáng tạo → NOLJAK
whatIsNoljakPage.tag1	Ages 3–Elementary	3 tuổi đến Tiểu học
whatIsNoljakPage.tag2	Korea's #1 Creative Education	Giáo dục sáng tạo số 1 Hàn Quốc
whatIsNoljakPage.tag3	Real Object & Project-Based	Dựa trên vật thật & Dự án
whatIsNoljakPage.tag4	Small Group Classes	Lớp học nhóm nhỏ
whatIsNoljakPage.whyArtHeadline	Why did we choose Art as our tool?	Tại sao chúng tôi chọn Nghệ thuật làm công cụ?
whatIsNoljakPage.whyArtSub	Because creativity is the one skill every child will need — no matter what the future looks like.	Vì sáng tạo là kỹ năng duy nhất mà mọi đứa trẻ sẽ cần — dù tương lai trông như thế nào.
whatIsNoljakPage.card1Title	In art, every child is right.	Trong nghệ thuật, mọi đứa trẻ đều đúng.
whatIsNoljakPage.card1Desc	There is no single correct answer — only your answer. That's why every child becomes the hero of their own creative journey.	Không có một câu trả lời đúng duy nhất — chỉ có câu trả lời của bạn. Đó là lý do tại sao mọi đứa trẻ trở thành anh hùng trong hành trình sáng tạo của riêng mình.
whatIsNoljakPage.card2Title	Self-directed growth	Phát triển tự định hướng
whatIsNoljakPage.card2Desc	Imagination becomes reality. Children choose, observe, and complete their own unique work — and grow through every step of that process.	Trí tưởng tượng trở thành hiện thực. Trẻ em lựa chọn, quan sát và hoàn thành tác phẩm độc đáo của riêng mình.
whatIsNoljakPage.card3Title	Creative problem-solvers	Người giải quyết vấn đề sáng tạo
whatIsNoljakPage.card3Desc	What if I had 10 arms like an octopus? Noljak gives children the power to solve imaginative challenges that no computer can — because real creativity starts in the mind.	Nếu tôi có 10 cánh tay như bạch tuộc thì sao? Noljak cho trẻ sức mạnh để giải quyết những thách thức tưởng tượng mà không máy tính nào có thể làm được.
whatIsNoljakPage.card4Title	Focus Through Joy	Tập trung qua niềm vui
whatIsNoljakPage.card4Desc	Art is fun — and fun builds focus. When children enjoy what they do, they concentrate deeper and longer.	Nghệ thuật thật thú vị — và niềm vui tạo nên sự tập trung. Khi trẻ thích những gì chúng làm, chúng tập trung sâu hơn và lâu hơn.
whatIsNoljakPage.card5Title	Process Becomes Product	Quá trình trở thành sản phẩm
whatIsNoljakPage.card5Desc	Every artwork has a beginning, middle, and end. Art teaches children to see a project through — from idea to completion.	Mỗi tác phẩm nghệ thuật có đầu, giữa và cuối. Nghệ thuật dạy trẻ hoàn thành dự án từ ý tưởng đến hoàn thiện.
whatIsNoljakPage.card6Title	Ready for the AI Era	Sẵn sàng cho kỷ nguyên AI
whatIsNoljakPage.card6Desc	In the age of AI, fluency in both language and image is essential. Art builds the visual thinking skills children will need most.	Trong thời đại AI, thành thạo cả ngôn ngữ và hình ảnh là điều cần thiết. Nghệ thuật xây dựng kỹ năng tư duy trực quan mà trẻ em cần nhất.
whatIsNoljakPage.sloganLabel	OUR SLOGAN	KHẨU HIỆU CỦA CHÚNG TÔI
whatIsNoljakPage.slogan1	Thinking Observation!	Quan sát Tư duy!
whatIsNoljakPage.slogan2	Creative Expression!	Biểu đạt Sáng tạo!
whatIsNoljakPage.sloganDesc	This is the core of everything Noljak does — from the classroom to the world.	Đây là cốt lõi của mọi thứ Noljak làm — từ lớp học đến thế giới.
whatIsNoljakPage.commitmentLabel	OUR COMMITMENT	CAM KẾT CỦA CHÚNG TÔI
whatIsNoljakPage.commitmentTitle	We choose the real world over plastic kits.	Chúng tôi chọn thế giới thực thay vì bộ dụng cụ nhựa.
whatIsNoljakPage.commitmentDesc	Noljak uses real objects — not plastic toys, not printed kits. Real materials spark real thinking. And they protect the world our children will grow up in.	Noljak sử dụng vật thật — không phải đồ chơi nhựa, không phải bộ dụng cụ in sẵn. Vật liệu thật kích thích tư duy thật.
whatIsNoljakPage.promiseLabel	OUR PROMISE	LỜI HỨA CỦA CHÚNG TÔI
whatIsNoljakPage.promiseTitle	Our 5 Promises to Every Child	5 Lời hứa của chúng tôi với mọi đứa trẻ
whatIsNoljakPage.promise1Title	Honest & Eye-Level Connection	Kết nối trung thực & ngang tầm mắt
whatIsNoljakPage.promise1Desc	We never draw for your child. Every line belongs to them.	Chúng tôi không bao giờ vẽ thay cho con bạn. Mỗi nét vẽ đều thuộc về chúng.
whatIsNoljakPage.promise2Title	Deep Listening & Dialogue	Lắng nghe sâu & Đối thoại
whatIsNoljakPage.promise2Desc	We ask, we listen, we guide — never instruct.	Chúng tôi hỏi, chúng tôi lắng nghe, chúng tôi hướng dẫn — không bao giờ chỉ thị.
whatIsNoljakPage.promise3Title	Learning through the Body	Học qua cơ thể
whatIsNoljakPage.promise3Desc	Real objects, real touch, real thinking.	Vật thật, cảm xúc thật, tư duy thật.
whatIsNoljakPage.promise4Title	Small Group System	Hệ thống nhóm nhỏ
whatIsNoljakPage.promise4Desc	Every child is seen, heard, and guided individually.	Mọi đứa trẻ đều được nhìn thấy, lắng nghe và hướng dẫn riêng lẻ.
whatIsNoljakPage.promise5Title	Timed Session Management	Quản lý thời gian buổi học
whatIsNoljakPage.promise5Desc	Structured time for deep focus and creative habit.	Thời gian có cấu trúc để tập trung sâu và hình thành thói quen sáng tạo.
whatIsNoljakPage.ctaTitle	Ready to explore?	Sẵn sàng khám phá chưa?
whatIsNoljakPage.ctaBtn1	Read Our Story	Đọc câu chuyện của chúng tôi
whatIsNoljakPage.ctaBtn2	Meet the Founder	Gặp gỡ người sáng lập
philosophyPage.founderLabel	FOUNDER & DIRECTOR	NGƯỜI SÁNG LẬP & GIÁM ĐỐC
philosophyPage.founderName	Jang Sun-kyung	Jang Sun-kyung
philosophyPage.founderTitle	Director, Noljak Creative Education Institute	Giám đốc, Viện Giáo dục Sáng tạo Noljak
philosophyPage.founderDesc	30+ years in early childhood education. Developer of all Noljak programs — CreKiC, Basic, and Creator.	Hơn 30 năm kinh nghiệm trong giáo dục mầm non. Người phát triển tất cả chương trình Noljak — CreKiC, Basic và Creator.
philosophyPage.quote1	If a lesson is easy for the teacher, it is not designed for the child — it is designed for the teacher.	Nếu bài học dễ dàng cho giáo viên, đó không phải bài học dành cho trẻ — đó là bài học dành cho giáo viên.
philosophyPage.quote2	Real objects. Real senses. The most beautiful learning is the most precious experience for children.	Đồ vật thật. Cảm giác thật. Việc học đẹp nhất là trải nghiệm quý giá nhất với trẻ.
philosophyPage.quote3	When we emphasize the result, children stop learning. Children live in the process.	Khi chúng ta nhấn mạnh kết quả, trẻ ngừng học. Trẻ sống trong quá trình.
philosophyPage.quote4	Observation is the foundation of everything — art, study, and life all begin with observation.	Quan sát là nền tảng của mọi thứ — nghệ thuật, học tập và cuộc sống đều bắt đầu từ quan sát.
philosophyPage.goldenTimeLabel	GOLDEN TIME	THỜI VÀNG
philosophyPage.goldenTimeTitle	Ages 3–10. The most important window of growth.	3–10 tuổi. Giai đoạn quan trọng nhất của sự phát triển.
philosophyPage.goldenTimeDesc	This is when a child's senses turn into thoughts. When experience becomes knowledge. Noljak designed a precise 6-year roadmap for exactly this window — because what happens here shapes everything that follows.	Đây là lúc các giác quan của trẻ biến thành suy nghĩ. Khi trải nghiệm trở thành kiến thức. Noljak đã thiết kế lộ trình chính xác 6 năm cho chính giai đoạn này — vì những gì xảy ra ở đây định hình tất cả những gì theo sau.
philosophyPage.thinkingObsLabel	THINKING OBSERVATION	QUAN SÁT TƯ DUY
philosophyPage.thinkingObsTitle	Observation is not just looking.	Quan sát không chỉ là nhìn.
philosophyPage.thinkingObsDesc	It is an active act — using curiosity boxes, magnifying glasses, and all five senses to understand the essence of a real object. The data a child collects through direct experience cannot be found on Google. It is theirs alone.	Đó là một hành động chủ động — sử dụng hộp tò mò, kính lúp và tất cả năm giác quan để hiểu bản chất của một vật thật. Dữ liệu mà trẻ thu thập qua trải nghiệm trực tiếp không thể tìm thấy trên Google. Đó là của riêng chúng.
philosophyPage.creativeExprLabel	CREATIVE EXPRESSION	BIỂU ĐẠT SÁNG TẠO
philosophyPage.creativeExprTitle	Deep thinking becomes original creation.	Suy nghĩ sâu sắc trở thành sáng tạo độc đáo.
philosophyPage.creativeExprDesc	Expression is not copying. It is taking what you observed, adding your imagination, and making something no one else could make. This is how a child becomes a creator.	Biểu đạt không phải là sao chép. Đó là lấy những gì bạn quan sát được, thêm vào trí tưởng tượng của bạn và tạo ra thứ gì đó mà không ai khác có thể tạo ra. Đây là cách một đứa trẻ trở thành người sáng tạo.
philosophyPage.learningEngineLabel	THE NOLJAK LEARNING ENGINE	ĐỘNG CƠ HỌC TẬP NOLJAK
philosophyPage.learningEngineTitle	A cycle that never stops.	Một chu trình không bao giờ dừng.
philosophyPage.step1Title	Observation	Quan sát
philosophyPage.step1Desc	See the world with all five senses.	Nhìn thế giới bằng tất cả năm giác quan.
philosophyPage.step2Title	Thinking	Tư duy
philosophyPage.step2Desc	Connect what you see to what you know.	Kết nối những gì bạn thấy với những gì bạn biết.
philosophyPage.step3Title	Expression	Biểu đạt
philosophyPage.step3Desc	Create something entirely your own.	Tạo ra thứ gì đó hoàn toàn của riêng bạn.
philosophyPage.step4Title	New Observation	Quan sát mới
philosophyPage.step4Desc	See the world anew, and begin again.	Nhìn thế giới theo cách mới, và bắt đầu lại.
philosophyPage.cycleNote	The cycle continues — each creation leads to new observations.	Chu trình tiếp tục — mỗi sáng tạo dẫn đến những quan sát mới.
philosophyPage.aiLabel	WHAT AI CANNOT REPLACE	ĐIỀU AI KHÔNG THỂ THAY THẾ
philosophyPage.aiTitle	The rarest thing a child can have is original experience.	Điều hiếm có nhất một đứa trẻ có thể có là trải nghiệm độc đáo.
philosophyPage.aiDesc	In a world flooded with data, Noljak builds that — one real object at a time. The child who touches a real squid, feels its texture, smells it, and draws it from memory — that child carries data no AI will ever have.	Trong một thế giới tràn ngập dữ liệu, Noljak xây dựng điều đó — từng đồ vật thật một. Đứa trẻ chạm vào con mực thật, cảm nhận kết cấu, ngửi nó và vẽ nó từ ký ức — đứa trẻ đó mang dữ liệu mà không AI nào có thể có.
philosophyPage.aiCardTitle	AI	AI
philosophyPage.aiCardDesc	Processes data. Generates patterns. Replicates.	Xử lý dữ liệu. Tạo ra các mẫu. Sao chép.
philosophyPage.childCardTitle	Child	Trẻ em
philosophyPage.childCardDesc	Touches. Smells. Feels. Creates something entirely new.	Chạm. Ngửi. Cảm nhận. Tạo ra thứ gì đó hoàn toàn mới.
philosophyPage.ctaTitle	Ready to see it in action?	Sẵn sàng xem nó hoạt động?
philosophyPage.ctaBtn1	Explore Programs	Khám phá Chương trình
philosophyPage.ctaBtn2	See Now Noljak	Xem Now Noljak
crekicPage.courseLabel	COURSE 01	KHÓA HỌC 01
crekicPage.heroTitle	Where learning begins with the whole body.	Nơi việc học bắt đầu bằng toàn bộ cơ thể.
crekicPage.heroSub	Ages 3–5 · Sensory · Emotional · Language	3–5 tuổi · Giác quan · Cảm xúc · Ngôn ngữ
crekicPage.whatLabel	WHAT IS CREKIC?	CREKIC LÀ GÌ?
crekicPage.whatTitle	Sense. Feel. Express.	Cảm nhận. Trải nghiệm. Biểu đạt.
crekicPage.whatDesc	CreKiC is Noljak's foundational course for ages 3–5. During this golden time, children absorb the world through every sense. CreKiC channels that energy into integrated sensory, emotional, and language development.	CreKiC là khóa học nền tảng của Noljak dành cho trẻ 3–5 tuổi. Trong thời vàng này, trẻ hấp thụ thế giới qua từng giác quan. CreKiC hướng dẫn năng lượng đó vào phát triển giác quan, cảm xúc và ngôn ngữ tích hợp.
crekicPage.badge1Name	Sensory	Giác quan
crekicPage.badge1Sub	Stimulation	Kích thích
crekicPage.badge2Name	Emotional	Cảm xúc
crekicPage.badge2Sub	Expression	Biểu đạt
crekicPage.badge3Name	Language	Ngôn ngữ
crekicPage.badge3Sub	Development	Phát triển
crekicPage.monthlyLabel	MONTHLY FLOW	DÒNG CHẢY HÀNG THÁNG
crekicPage.monthlyTitle	A complete cycle every month.	Một chu trình hoàn chỉnh mỗi tháng.
crekicPage.week1Label	Week 1	Tuần 1
