섹션	영어 원문	한국어 번역
footer.rights	© 2026 NOLJAKEDU CO., LTD. All Rights Reserved.	
findCenterPage.hero	Find Noljak near you.	
findCenterPage.heroSub	Noljak Creative Centers are opening across the world. Find the one closest to you.	
findCenterPage.searchPlaceholder	Search by country or city...	
findCenterPage.useLocation	Or use current location	
findCenterPage.globalPresence	GLOBAL PRESENCE	
findCenterPage.mapTitle	Noljak in 11 countries.	
findCenterPage.countries	Countries	
findCenterPage.centersInKorea	Centers in Korea	
findCenterPage.globalCenters	Global Centers	
findCenterPage.centersByRegion	Centers by region.	
findCenterPage.loading	Loading centers...	
findCenterPage.koreaTitle	400+ centers across Korea.	
findCenterPage.koreaSub	Find your nearest Noljak center on our Korean website.	
findCenterPage.findInKorea	Find a Center in Korea →	
findCenterPage.getDirections	Get Directions →	
findCenterPage.noCenter	No Noljak center in your city yet.	
findCenterPage.noCenterSub	Be the first to bring Noljak to your community.	
findCenterPage.bringNoljak	Bring Noljak to Your City →	
findCenterPage.dontSeeCity	Don't see your city?	
findCenterPage.dontSeeCitySub	Join our growing global network and bring Noljak's creative education to your community.	
findCenterPage.startBusiness	Start Global Business	
findCenterPage.contactUs	Contact Us	
findCenterPage.tabAll	All	
findCenterPage.tabKorea	Korea	
globalBusiness.hero	Bring Noljak to your city.	
globalBusiness.heroSub	Join a growing global network of creative education centers in 11 countries and counting.	
globalBusiness.centersInKorea	Centers in Korea	
globalBusiness.countries	Countries	
globalBusiness.yearsOfExp	Years of Experience	
globalBusiness.getStarted	Get Started	
globalBusiness.whyLabel	WHY NOLJAK?	
globalBusiness.whyTitle	The world needs creative education now.	
globalBusiness.whyDesc	English and math are no longer enough. Parents worldwide are actively seeking creative education for their children. Noljak fills that gap — with a proven curriculum, a recognizable brand, and 20 years of expertise.	
globalBusiness.stat1Title	#1 Creative Art Education Brand in Korea	
globalBusiness.stat1Desc	Trusted by 400+ centers nationwide	
globalBusiness.stat2Title	Growing Global Demand	
globalBusiness.stat2Desc	Parents in 11 countries choose Noljak	
globalBusiness.stat3Title	Proven Curriculum	
globalBusiness.stat3Desc	6-step roadmap refined over 20 years	
globalBusiness.receiveLabel	WHAT YOU RECEIVE	
globalBusiness.receiveTitle	Everything you need to run a world-class center.	
globalBusiness.receive1Title	Curriculum Package	
globalBusiness.receive1Desc	Complete 6-step program materials, updated regularly.	
globalBusiness.receive2Title	Teaching Guides	
globalBusiness.receive2Desc	Detailed lesson plans for every single session.	
globalBusiness.receive3Title	Art Kits	
globalBusiness.receive3Desc	Curated real-object materials — no plastic kits.	
globalBusiness.receive4Title	Teacher Training	
globalBusiness.receive4Desc	Initial and ongoing professional development.	
globalBusiness.receive5Title	Brand & Marketing Support	
globalBusiness.receive5Desc	Global brand assets and local marketing guidance.	
globalBusiness.receive6Title	Growth Consulting	
globalBusiness.receive6Desc	Regular check-ins and performance briefings.	
globalBusiness.modelsLabel	BUSINESS MODELS	
globalBusiness.modelsTitle	Find the model that fits your market.	
globalBusiness.mostPopular	Most Popular	
globalBusiness.model1Title	Noljak Center	
globalBusiness.model1Desc	Open and operate a full Noljak Creative Center with complete brand and curriculum support.	
globalBusiness.model2Title	Licensing	
globalBusiness.model2Desc	License Noljak's curriculum and tools to integrate into your existing education center.	
globalBusiness.forInvestors	For Investors	
globalBusiness.model3Title	Master Franchise	
globalBusiness.model3Desc	Become Noljak's regional representative and develop the brand across your country or territory.	
globalBusiness.journeyLabel	PARTNER JOURNEY	
globalBusiness.journeyTitle	From inquiry to opening — a clear path forward.	
globalBusiness.step1Title	Inquiry	
globalBusiness.step1Desc	Submit your interest. Tell us about your city.	
globalBusiness.step2Title	Consultation	
globalBusiness.step2Desc	We learn about your market and goals together.	
globalBusiness.step3Title	Agreement	
globalBusiness.step3Desc	Clear terms, transparent partnership structure.	
globalBusiness.step4Title	Training	
globalBusiness.step4Desc	Full teacher and operator training program.	
globalBusiness.step5Title	Opening	
globalBusiness.step5Desc	Grand opening support and launch marketing.	
globalBusiness.step6Title	Ongoing Support	
globalBusiness.step6Desc	Curriculum updates, consulting, and community.	
globalBusiness.voicesLabel	PARTNER VOICES	
globalBusiness.voicesTitle	Real partners. Real results.	
globalBusiness.voice1Quote	Noljak gave us a complete system — curriculum, training, and ongoing support. We opened with confidence.	
globalBusiness.voice1Name	Partner, Vietnam	
globalBusiness.voice2Quote	Parents immediately understood the value. Children who used to resist art now ask to come every day.	
globalBusiness.voice2Name	Partner, Philippines	
globalBusiness.voice3Quote	The curriculum is unlike anything available in Germany. We had 40 students enrolled before opening day.	
globalBusiness.voice3Name	Partner, Germany	
globalBusiness.formLabel	GET STARTED	
globalBusiness.formTitle	Let's talk about your city.	
globalBusiness.formDesc	Fill in the form and our global team will be in touch within 2 business days.	
globalBusiness.reassure1	No obligation — just a conversation	
globalBusiness.reassure2	Response within 2 business days	
globalBusiness.reassure3	Available in English, Korean, and Vietnamese	
globalBusiness.fieldName	Name	
globalBusiness.fieldNamePlaceholder	Your name	
globalBusiness.fieldEmail	Email	
globalBusiness.fieldPhone	Phone	
globalBusiness.fieldCountry	Country	
globalBusiness.fieldCity	City	
globalBusiness.fieldBusinessType	Business Type	
globalBusiness.fieldBusinessTypePlaceholder	Select a type	
globalBusiness.optionNewCenter	New Center	
globalBusiness.optionLicensing	Licensing	
globalBusiness.optionMasterFranchise	Master Franchise	
globalBusiness.fieldMessage	Message	
globalBusiness.fieldMessagePlaceholder	Tell us about your plans...	
globalBusiness.submit	Send Inquiry	
whatIsNoljakPage.headline	Noljak is the world's only art-based creative education for the AI generation.	
whatIsNoljakPage.body1	Noljak is a creative education program rooted in Thinking Observation — designed for children ages 3 to elementary school. Through small-group, project-based art classes, we help children develop the creativity that will define their success in the AI era.	
whatIsNoljakPage.body2	English and math matter. But in the end, creativity is the real competitive edge. And creativity has a golden time — it starts early, and it starts with Noljak.	
whatIsNoljakPage.footnote1	NOLJAK = Nol-i(놀이) + Chang-Jak(창작)	
whatIsNoljakPage.footnote2	Play + Creation → NOLJAK	
whatIsNoljakPage.tag1	Ages 3–Elementary	
whatIsNoljakPage.tag2	Korea's #1 Creative Education	
whatIsNoljakPage.tag3	Real Object & Project-Based	
whatIsNoljakPage.tag4	Small Group Classes	
whatIsNoljakPage.whyArtHeadline	Why did we choose Art as our tool?	
whatIsNoljakPage.whyArtSub	Because creativity is the one skill every child will need — no matter what the future looks like.	
whatIsNoljakPage.card1Title	In art, every child is right.	
whatIsNoljakPage.card1Desc	There is no single correct answer — only your answer. That's why every child becomes the hero of their own creative journey.	
whatIsNoljakPage.card2Title	Self-directed growth	
whatIsNoljakPage.card2Desc	Imagination becomes reality. Children choose, observe, and complete their own unique work — and grow through every step of that process.	
whatIsNoljakPage.card3Title	Creative problem-solvers	
whatIsNoljakPage.card3Desc	What if I had 10 arms like an octopus? Noljak gives children the power to solve imaginative challenges that no computer can — because real creativity starts in the mind.	
whatIsNoljakPage.card4Title	Focus Through Joy	
whatIsNoljakPage.card4Desc	Art is fun — and fun builds focus. When children enjoy what they do, they concentrate deeper and longer.	
whatIsNoljakPage.card5Title	Process Becomes Product	
whatIsNoljakPage.card5Desc	Every artwork has a beginning, middle, and end. Art teaches children to see a project through — from idea to completion.	
whatIsNoljakPage.card6Title	Ready for the AI Era	
whatIsNoljakPage.card6Desc	In the age of AI, fluency in both language and image is essential. Art builds the visual thinking skills children will need most.	
whatIsNoljakPage.sloganLabel	OUR SLOGAN	
whatIsNoljakPage.slogan1	Thinking Observation!	
whatIsNoljakPage.slogan2	Creative Expression!	
whatIsNoljakPage.sloganDesc	This is the core of everything Noljak does — from the classroom to the world.	
whatIsNoljakPage.commitmentLabel	OUR COMMITMENT	
whatIsNoljakPage.commitmentTitle	We choose the real world over plastic kits.	
whatIsNoljakPage.commitmentDesc	Noljak uses real objects — not plastic toys, not printed kits. Real materials spark real thinking. And they protect the world our children will grow up in.	
whatIsNoljakPage.promiseLabel	OUR PROMISE	
whatIsNoljakPage.promiseTitle	Our 5 Promises to Every Child	
whatIsNoljakPage.promise1Title	Honest & Eye-Level Connection	
whatIsNoljakPage.promise1Desc	We never draw for your child. Every line belongs to them.	
whatIsNoljakPage.promise2Title	Deep Listening & Dialogue	
whatIsNoljakPage.promise2Desc	We ask, we listen, we guide — never instruct.	
whatIsNoljakPage.promise3Title	Learning through the Body	
whatIsNoljakPage.promise3Desc	Real objects, real touch, real thinking.	
whatIsNoljakPage.promise4Title	Small Group System	
whatIsNoljakPage.promise4Desc	Every child is seen, heard, and guided individually.	
whatIsNoljakPage.promise5Title	Timed Session Management	
whatIsNoljakPage.promise5Desc	Structured time for deep focus and creative habit.	
whatIsNoljakPage.ctaTitle	Ready to explore?	
whatIsNoljakPage.ctaBtn1	Read Our Story	
whatIsNoljakPage.ctaBtn2	Meet the Founder	
philosophyPage.founderLabel	FOUNDER & DIRECTOR	
philosophyPage.founderName	Jang Sun-kyung	
philosophyPage.founderTitle	Director, Noljak Creative Education Institute	
philosophyPage.founderDesc	30+ years in early childhood education. Developer of all Noljak programs — CreKiC, Basic, and Creator.	
philosophyPage.quote1	If a lesson is easy for the teacher, it is not designed for the child — it is designed for the teacher.	
philosophyPage.quote2	Real objects. Real senses. The most beautiful learning is the most precious experience for children.	
philosophyPage.quote3	When we emphasize the result, children stop learning. Children live in the process.	
philosophyPage.quote4	Observation is the foundation of everything — art, study, and life all begin with observation.	
philosophyPage.goldenTimeLabel	GOLDEN TIME	
philosophyPage.goldenTimeTitle	Ages 3–10. The most important window of growth.	
philosophyPage.goldenTimeDesc	This is when a child's senses turn into thoughts. When experience becomes knowledge. Noljak designed a precise 6-year roadmap for exactly this window — because what happens here shapes everything that follows.	
philosophyPage.thinkingObsLabel	THINKING OBSERVATION	
philosophyPage.thinkingObsTitle	Observation is not just looking.	
philosophyPage.thinkingObsDesc	It is an active act — using curiosity boxes, magnifying glasses, and all five senses to understand the essence of a real object. The data a child collects through direct experience cannot be found on Google. It is theirs alone.	
philosophyPage.creativeExprLabel	CREATIVE EXPRESSION	
philosophyPage.creativeExprTitle	Deep thinking becomes original creation.	
philosophyPage.creativeExprDesc	Expression is not copying. It is taking what you observed, adding your imagination, and making something no one else could make. This is how a child becomes a creator.	
philosophyPage.learningEngineLabel	THE NOLJAK LEARNING ENGINE	
philosophyPage.learningEngineTitle	A cycle that never stops.	
philosophyPage.step1Title	Observation	
philosophyPage.step1Desc	See the world with all five senses.	
philosophyPage.step2Title	Thinking	
philosophyPage.step2Desc	Connect what you see to what you know.	
philosophyPage.step3Title	Expression	
philosophyPage.step3Desc	Create something entirely your own.	
philosophyPage.step4Title	New Observation	
philosophyPage.step4Desc	See the world anew, and begin again.	
philosophyPage.cycleNote	The cycle continues — each creation leads to new observations.	
philosophyPage.aiLabel	WHAT AI CANNOT REPLACE	
philosophyPage.aiTitle	The rarest thing a child can have is original experience.	
philosophyPage.aiDesc	In a world flooded with data, Noljak builds that — one real object at a time. The child who touches a real squid, feels its texture, smells it, and draws it from memory — that child carries data no AI will ever have.	
philosophyPage.aiCardTitle	AI	
philosophyPage.aiCardDesc	Processes data. Generates patterns. Replicates.	
philosophyPage.childCardTitle	Child	
philosophyPage.childCardDesc	Touches. Smells. Feels. Creates something entirely new.	
philosophyPage.ctaTitle	Ready to see it in action?	
philosophyPage.ctaBtn1	Explore Programs	
philosophyPage.ctaBtn2	See Now Noljak	
crekicPage.courseLabel	COURSE 01	
crekicPage.heroTitle	Where learning begins with the whole body.	
crekicPage.heroSub	Ages 3–5 · Sensory · Emotional · Language	
crekicPage.whatLabel	WHAT IS CREKIC?	
crekicPage.whatTitle	Sense. Feel. Express.	
crekicPage.whatDesc	CreKiC is Noljak's foundational course for ages 3–5. During this golden time, children absorb the world through every sense. CreKiC channels that energy into integrated sensory, emotional, and language development.	
crekicPage.badge1Name	Sensory	
crekicPage.badge1Sub	Stimulation	
crekicPage.badge2Name	Emotional	
crekicPage.badge2Sub	Expression	
crekicPage.badge3Name	Language	
crekicPage.badge3Sub	Development	
crekicPage.monthlyLabel	MONTHLY FLOW	
crekicPage.monthlyTitle	A complete cycle every month.	
crekicPage.week1Label	Week 1	
crekicPage.week1Title	Sensory Stimulation	
crekicPage.week1Desc	Exploring the world through touch, sound, smell, and sight.	
crekicPage.week2Label	Week 2	
crekicPage.week2Title	Emotional Expression	
crekicPage.week2Desc	Connecting feelings to art and movement.	
crekicPage.week3Label	Week 3	
crekicPage.week3Title	Language Development	
crekicPage.week3Desc	Turning sensory experiences into words and stories.	
crekicPage.week4Label	Week 4	
crekicPage.week4Title	All-in-One Performance	
crekicPage.week4Desc	Bringing it all together in a full creative performance.	
crekicPage.epeLabel	THE E.P.E MODEL	
crekicPage.epeTitle	Three steps. One complete experience.	
crekicPage.engageTitle	Engage	
crekicPage.engageDesc	Clear goal setting — the child knows what to discover.	
crekicPage.performTitle	Performance	
crekicPage.performDesc	From play to expression — movement, sound, and art combined.	
crekicPage.expressTitle	Express	
crekicPage.expressDesc	Reinforcing through language and art — Tell me what you made.	
crekicPage.keyToolLabel	KEY TOOL	
crekicPage.keyToolTitle	I-Canvas (아이캔버스)	
crekicPage.keyToolDesc	A unique Noljak medium for children to express their feelings emotionally and verbally — part canvas, part conversation starter. The I-Canvas bridges the gap between what a child feels and what they can say.	
crekicPage.keyToolBadge	Noljak Exclusive Tool	
crekicPage.envTitle	Two spaces. One purpose.	
crekicPage.generalTitle	General Classroom	
crekicPage.generalDesc	For emotional interaction, group dialogue, and calm creative activities.	
crekicPage.performClassTitle	Performance Classroom	
crekicPage.performClassDesc	For dynamic, full-body expression — movement, sound, and large-scale art.	
crekicPage.ctaTitle	Start your child's creative journey.	
crekicPage.ctaBtn1	Talk to a Consultant	
crekicPage.ctaBtn2	Find a CreKiC Center	
basicPage.courseLabel	COURSE 02	
basicPage.heroTitle	Thinking starts with real observation.	
basicPage.heroSub	Ages 6–7 · Real Object · Observation · Thinking	
basicPage.whatLabel	WHAT IS BASIC?	
basicPage.whatTitle	Don't draw first. Observe first.	
basicPage.whatDesc	Basic is Noljak's core course for ages 6–7. Children learn to observe real objects with precision — not photos, not videos, but the actual thing. From that observation, real thinking begins.	
basicPage.whatQuote	The data a child collects through direct experience cannot be found on Google. It is theirs alone.	
basicPage.stepLabel	4-STEP PROJECT	
basicPage.stepTitle	One real object. Four weeks of discovery.	
basicPage.step1Title	Observation	
basicPage.step1Desc	Explore the real object with all five senses. Collect data.	
basicPage.step1Badge	e.g. Real Snail	
basicPage.step2Title	Imagination	
basicPage.step2Desc	Add personal imagination to collected data. Visualize.	
basicPage.step3Title	Expansion	
basicPage.step3Desc	Add story and perspective. Think critically.	
basicPage.step4Title	Expression	
basicPage.step4Desc	Complete a unique final creation.	
basicPage.obsToolsLabel	OBSERVATION TOOLS	
basicPage.obsToolsTitle	Tools that activate all five senses.	
basicPage.tool1Title	Curiosity Box	
basicPage.tool1Sub	호기심 상자	
basicPage.tool1Desc	Blocks vision. Only touch, sound, and smell. Maximum sensory activation.	
basicPage.tool1Badge	Noljak Exclusive	
basicPage.tool2Title	Observation Magnifier	
basicPage.tool2Sub	관찰 돋보기	
basicPage.tool2Desc	Precision analysis of structure and detail. Discover what the naked eye misses.	
basicPage.tool2Badge	Noljak Exclusive	
basicPage.studioLabel	OBSERVATION STUDIO	
basicPage.studioTitle	A space designed for deep focus.	
basicPage.studioDesc	Calm blue tones create the perfect environment for concentrated observation. The large solid wood workbench allows children to examine objects from every angle.	
basicPage.studioBullet1	Calm blue color tones for focused thinking	
basicPage.studioBullet2	Large solid wood workbench for multi-angle observation	
basicPage.sensoryLabel	SENSORY LANGUAGE	
basicPage.sensoryTitle	From senses to words to ideas.	
basicPage.sensoryDesc	Rich sensory language is the foundation of creative thinking. When children describe what they feel, they build the vocabulary of imagination.	
basicPage.sensory1Ko	말랑말랑하다	
basicPage.sensory1En	(Soft and squishy)	
basicPage.sensory2Ko	비릿하다	
basicPage.sensory2En	(Smells like the sea)	
basicPage.sensory3Ko	차가운 금속 같다	
basicPage.sensory3En	(Cold like metal)	
basicPage.ctaTitle	See real observation in action.	
basicPage.ctaBtn1	Talk to a Consultant	
basicPage.ctaBtn2	Find a Basic Center	
creatorPage.courseLabel	COURSE 03	
creatorPage.heroTitle	Ideas become original creations.	
creatorPage.heroSub	Ages 8–Elementary · Design Thinking · Creative Fusion	
creatorPage.whatLabel	WHAT IS CREATOR?	
creatorPage.whatTitle	Design your own world.	
creatorPage.whatDesc	Creator is Noljak's advanced course for children who have completed Basic. Here, children combine accumulated observation data with art, humanities, science, and social thinking — to design solutions that are truly their own.	
creatorPage.whatQuote	Idea sketches are not doodles. They are blueprints for the best possible answer.	
creatorPage.designLabel	DESIGN THINKING	
creatorPage.designTitle	From infinite ideas to one masterpiece.	
creatorPage.design1Title	Divergent Thinking	
creatorPage.design1Desc	Generate hundreds of possibilities using 9 imagination tools.	
creatorPage.design2Title	Idea Sketch	
creatorPage.design2Desc	Convert abstract ideas into visual blueprints.	
creatorPage.design3Title	Convergent Thinking	
creatorPage.design3Desc	Select one idea and develop it to its fullest potential.	
creatorPage.design4Title	Final Creation	
creatorPage.design4Desc	A work that carries social meaning or functional value.	
creatorPage.toolsLabel	9 IMAGINATION TOOLS	
creatorPage.toolsTitle	Imagination is a skill. Here are the tools.	
creatorPage.toolsDesc	Children use these 9 systematic tools to break fixed thinking and transform their observation data into revolutionary ideas.	
creatorPage.tool1Title	Shape Shifting	
creatorPage.tool1Desc	Transform basic shapes into entirely new forms	
creatorPage.tool2Title	Mix & Match	
creatorPage.tool2Desc	Combine unrelated attributes to create something new	
creatorPage.tool3Title	Feature Focusing	
creatorPage.tool3Desc	Isolate and redefine the key characteristics of any object	
creatorPage.tool4Title	Avatar POV	
creatorPage.tool4Desc	See the world through someone else's eyes entirely	
creatorPage.tool5Title	Scaling Up & Down	
creatorPage.tool5Desc	Explore by dramatically changing size	
creatorPage.tool6Title	Break & Build	
creatorPage.tool6Desc	Separate and recombine elements in unexpected ways	
creatorPage.tool7Title	Giving Life	
creatorPage.tool7Desc	Give movement and life to static objects	
creatorPage.tool8Title	Time Traveling	
creatorPage.tool8Desc	Reverse or fast-forward time to reimagine cause and effect	
creatorPage.tool9Title	Super Function	
creatorPage.tool9Desc	Give objects impossible abilities beyond their original purpose	
creatorPage.caseLabel	CASE STUDY	
creatorPage.caseTitle	Shuttlecock! What do you look like?	
creatorPage.caseDesc	Original data that search engines can't find and AI can never replicate.	
creatorPage.case1Title	Observation	
creatorPage.case1Desc	Lightness, feather structure, air space — all data collected by touch and sight.	
creatorPage.case2Title	Thinking	
creatorPage.case2Desc	'The feathers look like the Eiffel Tower.' / 'It could be a hot air balloon basket.'	
creatorPage.case3Title	Expression	
creatorPage.case3Desc	Children created the Eiffel Tower, a flowing dress, and a fantasy balloon — all from one shuttlecock.	
creatorPage.atelierLabel	ATELIER SPACE	
creatorPage.atelierTitle	A studio where creators work.	
creatorPage.atelierDesc	The Creator classroom is an atelier-style space with multiple materials and experimental techniques available. Children can plan and display their own exhibitions.	
creatorPage.atelierBullet1	Multiple materials and experimental techniques	
creatorPage.atelierBullet2	Gallery element — children plan and display their own exhibitions	
creatorPage.ctaTitle	Ready to design your world?	
creatorPage.ctaBtn1	Talk to a Consultant	
creatorPage.ctaBtn2	Find a Creator Center	
othersPage.heroLabel	PROGRAMS	
othersPage.heroTitle	Beyond the curriculum. Still Noljak.	
othersPage.heroDesc	Noljak offers a rich variety of programs and tools — all grounded in the same philosophy of observation, thinking, and creative expression.	
othersPage.drawingLabel	NOLJAK CREATIVE DRAWING	
othersPage.drawingTitle	Drawing as a thinking tool.	
othersPage.drawingDesc	Noljak Creative Drawing explores drawing elements found in everyday life. By observing and expressing these elements through playful methods, children develop rich thematic expression skills.	
othersPage.drawingAge	Ages 3+	
othersPage.drawingLink	Learn more	
othersPage.drawingBasicTitle	Basic	
othersPage.drawingBasicAge	Ages 6 and older	
othersPage.drawingBasicDesc	Cultivates the ability to express various subjects by observing and interpreting drawing elements found in children's everyday lives through playful methods.	
othersPage.drawingAdvTitle	Advanced	
othersPage.drawingAdvAge	Elementary-aged children	
othersPage.drawingAdvDesc	An intensive drawing course covering Observation, Human Anatomy, Coloring, and Three-dimensional expression.	
othersPage.kitLabel	NOLJAK ART KIT	
othersPage.kitTitle	A complete art experience in one box.	
othersPage.kitDesc	Each Art Kit contains all essential materials for art activities, coupled with detailed instructions — ensuring that anyone can easily create artistic pieces. Centered around a specific theme, each kit fosters creativity, confidence, and a sense of accomplishment.	
othersPage.kitAge	Ages 4+	
othersPage.kit1Title	ArtBox 12	
othersPage.kit1Desc	12 art activities around a single theme — from watermelon to autumn leaves. Refines fine motor skills and fosters creativity.	
othersPage.kit2Title	Artist Box	
othersPage.kit2Desc	Inspired by masters like Klimt, Matisse, Mondrian, and Monet. Children appreciate and apply artists' techniques to create their own works.	
othersPage.kit3Title	Flower Art Box	
othersPage.kit3Desc	Create oversized blooms, flower mobiles, and 3D floral artworks. Combines nature knowledge with fine motor development.	
othersPage.kitLink	Explore Art Kits	
othersPage.craftLabel	CRAFT MATERIAL COLLECTION	
othersPage.craftTitle	One material. Endless possibilities.	
othersPage.craftDesc	Each collection focuses on a single art material — colored sand, clay, cellophane, masking tape, and more. With around 10 activity sheets per kit, children explore the full creative potential of each material, building confidence through completing multiple artworks.	
othersPage.craftAge	All ages	
othersPage.craftLink	Explore Collections	
othersPage.material1	Colored Sand	
othersPage.material2	Clay	
othersPage.material3	Cellophane	
othersPage.material4	Masking Tape	
othersPage.material5	Shape Stickers	
othersPage.material6	Striped Colored Paper	
othersPage.ctaTitle	Curious about our full program lineup?	
othersPage.ctaDesc	Explore our core courses or find a Noljak center near you.	
othersPage.ctaBtn1	Explore Core Programs	
othersPage.ctaBtn2	Find a Center	
