섹션,영어 원문,한국어 번역
whatIsNoljakPage.card1Title,"In art, every child is right.",미술에서는 모든 아이의 생각이 정답입니다.
whatIsNoljakPage.card1Desc,There is no single correct answer — only your answer. That's why every child becomes the hero of their own creative journey.,하나만의 정답은 없습니다. 오직 나만의 답이 있을 뿐입니다. 그래서 모든 아이가 자신만의 창의적 여행의 주인공이 됩니다.
whatIsNoljakPage.card2Title,Self-directed growth,자기주도적 성장
whatIsNoljakPage.card2Desc,"Imagination becomes reality. Children choose, observe, and complete their own unique work — and grow through every step of that process.","상상이 현실이 됩니다. 아이들은 스스로 선택하고, 관찰하고, 자신만의 작품을 완성하며 그 과정 하나하나를 통해 성장합니다."
whatIsNoljakPage.card3Title,Creative problem-solvers,창의적 문제해결
whatIsNoljakPage.card3Desc,What if I had 10 arms like an octopus? Noljak gives children the power to solve imaginative challenges that no computer can — because real creativity starts in the mind.,나에게 오징어처럼 10개의 팔이 있다면? 놀작은 어떤 컴퓨터도 할 수 없는 상상력으로 이 과제를 해결하는 도전력을 선물합니다.
whatIsNoljakPage.card4Title,Focus Through Joy,즐거움으로 집중력 키우기
whatIsNoljakPage.card4Desc,"Art is fun — and fun builds focus. When children enjoy what they do, they concentrate deeper and longer.",미술은 재미있습니다. 그리고 재미는 집중력을 만듭니다. 아이들이 좋아하는 것을 할 때 더 깊고 오래 집중합니다.
whatIsNoljakPage.card5Title,Process Becomes Product,과정이 곧 결과
whatIsNoljakPage.card5Desc,"Every artwork has a beginning, middle, and end. Art teaches children to see a project through — from idea to completion.","모든 작품에는 시작, 중간, 끝이 있습니다. 미술은 아이들이 아이디어부터 완성까지 프로젝트를 끝까지 해내는 법을 가르칩니다."
whatIsNoljakPage.card6Title,Ready for the AI Era,AI 시대를 위한 준비
whatIsNoljakPage.card6Desc,"In the age of AI, fluency in both language and image is essential. Art builds the visual thinking skills children will need most.",AI 시대에는 언어와 이미지 모두에 대한 능숙함이 필수입니다. 미술은 아이들에게 꼭 필요한 시각적 사고력을 키워줍니다.
whatIsNoljakPage.sloganLabel,OUR SLOGAN,우리의 슬로건
whatIsNoljakPage.slogan1,Thinking Observation!,생각하는 관찰!
whatIsNoljakPage.slogan2,Creative Expression!,창의적 표현!
whatIsNoljakPage.sloganDesc,This is the core of everything Noljak does — from the classroom to the world.,"이것은 한국은 물론 세계의 모든 나라에서, 우리가 실천하는 핵심 가치입니다."
whatIsNoljakPage.commitmentLabel,OUR COMMITMENT,우리의 약속
whatIsNoljakPage.commitmentTitle,We choose the real world over plastic kits.,우리는 플라스틱 키트가 아닌 실물 세계를 탐험합니다.
whatIsNoljakPage.commitmentDesc,"Noljak uses real objects — not plastic toys, not printed kits. Real materials spark real thinking. And they protect the world our children will grow up in.","놀작은 플라스틱 키트도, 종이 프린트물도 아닌 실물을 사용합니다. 실물이 진짜 생각을 만듭니다. 그렇게 우리는 아이들이 주인공인 세상을 지킵니다."
whatIsNoljakPage.promiseLabel,OUR PROMISE,우리의 약속
whatIsNoljakPage.promiseTitle,Our 5 Promises to Every Child,모든 아이에게 드리는 5가지 약속
whatIsNoljakPage.promise1Title,Honest & Eye-Level Connection,정직하고 눈높이에 맞는 소통
whatIsNoljakPage.promise1Desc,We never draw for your child. Every line belongs to them.,우리는 아이의 그림에 손대지 않습니다. 모든 표현은 아이만의 것입니다.
whatIsNoljakPage.promise2Title,Deep Listening & Dialogue,생각을 키우는 경청과 대화
whatIsNoljakPage.promise2Desc,"We ask, we listen, we guide — never instruct.","우리는 묻고, 듣고, 안내합니다. 지시하지 않습니다."
whatIsNoljakPage.promise3Title,Learning through the Body,몸으로 배우는 학습
whatIsNoljakPage.promise3Desc,"Real objects, real touch, real thinking.","실제 사물, 실제 촉감, 실제 생각."
whatIsNoljakPage.promise4Title,Small Group System,소수정예그룹수업
whatIsNoljakPage.promise4Desc,"Every child is seen, heard, and guided individually.",모든 아이는 수업의 주인공입니다.
whatIsNoljakPage.promise5Title,Timed Session Management,시간 관리 세션
whatIsNoljakPage.promise5Desc,Structured time for deep focus and creative habit.,깊은 집중과 창의적 습관을 위한 구조화된 시간.
whatIsNoljakPage.ctaTitle,Ready to explore?,탐색할 준비가 되셨나요?
whatIsNoljakPage.ctaBtn1,Read Our Story,우리의 이야기 읽기
whatIsNoljakPage.ctaBtn2,Meet the Founder,장선경소장 만나기
philosophyPage.founderLabel,FOUNDER & DIRECTOR,소장
philosophyPage.founderName,Jang Sun-kyung,장선경
philosophyPage.founderTitle,"Director, Noljak Creative Education Institute",놀작미술교육연구소
philosophyPage.founderDesc,"30+ years in early childhood education. Developer of all Noljak programs — CreKiC, Basic, and Creator.","유아교육 30년의 경력. CreKiC, Basic, Creator 등 모든 놀작 프로그램 개발"
philosophyPage.quote1,"If a lesson is easy for the teacher, it is not designed for the child — it is designed for the teacher.",선생님이 쉬운 수업은 아이를 위한 것이 아닙니다 — 선생님을 위한 것입니다.
philosophyPage.quote2,Real objects. Real senses. The most beautiful learning is the most precious experience for children.,아이에겐 실물 관찰로 시작하는 배움이 가장 아름다운 배움이자 가장 소중한 경험입니다.
philosophyPage.quote3,"When we emphasize the result, children stop learning. Children live in the process.",결과를 강조하면 아이들은 배우기를 멈춥니다. 아이들은 과정 안에서 즐겁게 배우고 성장합니다.
philosophyPage.quote4,"Observation is the foundation of everything — art, study, and life all begin with observation.","관찰은 모든 것의 기초입니다 — 미술, 공부, 삶은 모두 관찰에서 시작됩니다."
philosophyPage.goldenTimeLabel,GOLDEN TIME,골든 타임
philosophyPage.goldenTimeTitle,Ages 3–10. The most important window of growth.,3~10세. 성장의 가장 중요한 시기.
philosophyPage.goldenTimeDesc,This is when a child's senses turn into thoughts. When experience becomes knowledge. Noljak designed a precise 6-year roadmap for exactly this window — because what happens here shapes everything that follows.,감각이 생각으로 전환되는 시기입니다. 경험이 지식이 되는 시기입니다. 놀작은 바로 이 시기를 위해 정밀한 6년 로드맵을 설계했습니다 — 이 시기에 일어나는 일이 이후 모든 것을 결정하기 때문입니다.
philosophyPage.thinkingObsLabel,THINKING OBSERVATION,생각하는 관찰
philosophyPage.thinkingObsTitle,Observation is not just looking.,관찰은 단순히 보는 것이 아닙니다.
philosophyPage.thinkingObsDesc,"It is an active act — using curiosity boxes, magnifying glasses, and all five senses to understand the essence of a real object. The data a child collects through direct experience cannot be found on Google. It is theirs alone.","호기심 상자, 돋보기, 오감을 활용하여 실제 사물의 본질을 이해하는 능동적인 행위입니다. 아이가 직접 경험을 통해 수집한 데이터는 구글에서도 찾을 수 없습니다. 오직 그 아이만의 것입니다."
philosophyPage.creativeExprLabel,CREATIVE EXPRESSION,창의적 표현
philosophyPage.creativeExprTitle,Deep thinking becomes original creation.,깊은 생각은 독창적인 창조로 이어집니다.
philosophyPage.creativeExprDesc,"Expression is not copying. It is taking what you observed, adding your imagination, and making something no one else could make. This is how a child becomes a creator.",창의표현은 모방이 아닙니다. 관찰의 경험에 상상력을 더해 오직 자신만의 것을 완성하는 것입니다. 바로 아이가 창작의 성취를 경험하는 방법입니다.
philosophyPage.learningEngineLabel,THE NOLJAK LEARNING ENGINE,놀작 학습 엔진
philosophyPage.learningEngineTitle,A cycle that never stops.,O-T-E 학습법에 의한 수업 
philosophyPage.step1Title,Observation,관찰
philosophyPage.step1Desc,See the world with all five senses.,오감으로 세상을 바라봅니다.
philosophyPage.step2Title,Thinking,생각
philosophyPage.step2Desc,Connect what you see to what you know.,보이는 것과 아는 것을 연결합니다.
philosophyPage.step3Title,Expression,표현
philosophyPage.step3Desc,Create something entirely your own.,온전히 자신만의 무언가를 창조합니다.
philosophyPage.step4Title,New Observation,새로운 관찰
philosophyPage.step4Desc,"See the world anew, and begin again.",새로운 눈으로 세상을 보고 다시 시작합니다.
philosophyPage.cycleNote,The cycle continues — each creation leads to new observations.,"순환은 계속됩니다 — 모든 관찰은 창작으로, 창작은 새로운 관찰로 이어집니다."
philosophyPage.aiLabel,WHAT AI CANNOT REPLACE,AI가 대체할 수 없는 것
philosophyPage.aiTitle,The rarest thing a child can have is original experience.,아이에게 가장 소중한 것은 자신만의 독창적인 경험입니다.
philosophyPage.aiDesc,"In a world flooded with data, Noljak builds that — one real object at a time. The child who touches a real squid, feels its texture, smells it, and draws it from memory — that child carries data no AI will ever have.",데이터가 넘쳐나는 세상에서 놀작은 실물 경험을 쌓아갑니다 — 진짜 오징어를 만져 질감을 느끼고 냄새 맡고 기억으로 그리는 아이 — 그 아이는 어떤 AI도 가질 수 없는 데이터를 품고 있습니다.
philosophyPage.aiCardTitle,AI,AI
philosophyPage.aiCardDesc,Processes data. Generates patterns. Replicates.,데이터를 처리합니다. 패턴을 생성합니다. 복제합니다.
philosophyPage.childCardTitle,Child,아이
philosophyPage.childCardDesc,Touches. Smells. Feels. Creates something entirely new.,만집니다. 냄새 맡습니다. 느낍니다. 완전히 새로운 것을 창조합니다.
philosophyPage.ctaTitle,Ready to see it in action?,직접 확인해 보시겠습니까?
philosophyPage.ctaBtn1,Explore Programs,프로그램 살펴보기
philosophyPage.ctaBtn2,See Now Noljak,지금 놀작 보기
crekicPage.courseLabel,COURSE 01,코스 01
crekicPage.heroTitle,Where learning begins with the whole body.,온 몸으로 배움이 시작되는 곳.
crekicPage.heroSub,Ages 3–5 · Sensory · Emotional · Language,3~5세 · 감각 · 정서 · 언어
crekicPage.whatLabel,WHAT IS CREKIC?,크키크란?
crekicPage.whatTitle,Sense. Feel. Express.,"감각경험, 정서 발달, 언어 표현"
crekicPage.whatDesc,"CreKiC is Noljak's foundational course for ages 3–5. During this golden time, children absorb the world through every sense. CreKiC channels that energy into integrated sensory, emotional, and language development.","CreKiC는 3~5세를 위한 놀작의 기초 코스입니다. 황금기에 아이들은 모든 감각으로 세상을 흡수합니다. CreKiC는 그 에너지를 통합적 감각, 정서, 언어 발달로 이끕니다."
crekicPage.badge1Name,Sensory,감각
crekicPage.badge1Sub,Stimulation,자극
crekicPage.badge2Name,Emotional,정서
crekicPage.badge2Sub,Expression,표현
crekicPage.badge3Name,Language,언어
crekicPage.badge3Sub,Development,발달
crekicPage.monthlyLabel,MONTHLY FLOW,월간 흐름
crekicPage.monthlyTitle,A complete cycle every month.,매달 완성되는 하나의 사이클.
crekicPage.week1Label,Week 1,1주차
crekicPage.week1Title,Sensory Stimulation,감각 자극
crekicPage.week1Desc,"Exploring the world through touch, sound, smell, and sight.","촉각, 소리, 후각, 시각으로 세상을 탐구합니다."
crekicPage.week2Label,Week 2,2주차
crekicPage.week2Title,Emotional Expression,정서 표현
crekicPage.week2Desc,Connecting feelings to art and movement.,감정을 미술과 움직임으로 연결합니다.
crekicPage.week3Label,Week 3,3주차
crekicPage.week3Title,Language Development,언어 발달
crekicPage.week3Desc,Turning sensory experiences into words and stories.,감각 경험을 말과 이야기로 표현합니다.
crekicPage.week4Label,Week 4,4주차
crekicPage.week4Title,All-in-One Performance,종합 퍼포먼스
crekicPage.week4Desc,Bringing it all together in a full creative performance.,모든 것을 하나의 완성된 창의 퍼포먼스로 통합합니다.
crekicPage.epeLabel,THE E.P.E MODEL,E.P.E 모델
crekicPage.epeTitle,Three steps. One complete experience.,세 단계. 하나의 완전한 경험.
crekicPage.engageTitle,Engage,참여(Engage)
crekicPage.engageDesc,Clear goal setting — the child knows what to discover.,명확한 목표 설정 — 아이는 무엇을 발견할지 압니다.
crekicPage.performTitle,Performance,퍼포먼스(Performance)
crekicPage.performDesc,"From play to expression — movement, sound, and art combined.","놀이에서 표현으로 — 움직임, 소리, 미술의 결합."
crekicPage.expressTitle,Express,표현(Express)
crekicPage.expressDesc,Reinforcing through language and art — Tell me what you made.,언어와 미술로 강화하기 — 만든 것을 이야기해 봐.
crekicPage.keyToolLabel,KEY TOOL,핵심 도구
crekicPage.keyToolTitle,I-Canvas (아이캔버스),I-Canvas (아이캔버스)
crekicPage.keyToolDesc,"A unique Noljak medium for children to express their feelings emotionally and verbally — part canvas, part conversation starter. The I-Canvas bridges the gap between what a child feels and what they can say.",아이들이 감정을 정서적·언어적으로 표현하는 놀작만의 매체 — 캔버스이자 대화의 시작점입니다. I-Canvas는 아이가 느끼는 것과 말할 수 있는 것 사이의 간격을 메워줍니다.
crekicPage.keyToolBadge,Noljak Exclusive Tool,놀작 전용 도구
crekicPage.envTitle,Two spaces. One purpose.,두 가지 공간. 하나의 목적.
crekicPage.generalTitle,General Classroom,일반 교실
crekicPage.generalDesc,"For emotional interaction, group dialogue, and calm creative activities.","정서적 상호작용, 그룹 대화, 차분한 창의 활동을 위한 공간."
crekicPage.performClassTitle,Performance Classroom,퍼포먼스 교실
crekicPage.performClassDesc,"For dynamic, full-body expression — movement, sound, and large-scale art.","역동적인 전신 표현 — 움직임, 소리, 대형 미술 활동을 위한 공간."
crekicPage.ctaTitle,Start your child's creative journey.,아이의 창의적인 여정을 시작하세요.
crekicPage.ctaBtn1,Talk to a Consultant,상담 신청하기
crekicPage.ctaBtn2,Find a CreKiC Center,CreKiC 센터 찾기
basicPage.courseLabel,COURSE 02,코스 02
basicPage.heroTitle,Thinking starts with real observation.,생각은 진짜 관찰에서 시작됩니다.
